error_type,log_content
NullPointerException,"java.lang.NullPointerException at com.orange.otnp.workflow.PortabilityDelegate execute node manual_validation"
NullPointerException,"Cannot invoke service because client is null during jbpm human task completion"
SQLException,"java.sql.SQLException Communications link failure while connecting to monitoring_db"
SQLException,"DataAccessException could not execute statement lock wait timeout exceeded"
KieServerConnection,"KIE Server returned HTTP 401 unauthorized for container portabilityin_1.0.0-SNAPSHOT"
KieServerConnection,"Connection refused localhost 8080 kie-server services rest server"
SoapIntegration,"SOAPFaultException faultcode Server operator donor endpoint unavailable"
SoapIntegration,"Read timed out calling BSCS SOAP service CheckCommercialEligibility"
JmsSignalTimeout,"Timer expired waiting for DONOR_RECEIVED signal in portability workflow"
JmsSignalTimeout,"Signal not received from donor operator queue after SLA deadline"
BusinessRuleRejection,"Donor rejected request because RIO invalid or MSISDN not eligible"
BusinessRuleRejection,"Portability rejected active commitment contract still open"
HumanTaskBlocked,"Human task manual_validation is reserved but not completed before deadline"
HumanTaskBlocked,"Task update crm blocked because agent has no validator role"
EligibilityError,"Eligibility check failed for MSISDN format invalid in Portability IN"
EligibilityError,"NUMLEX lookup returned no range for customer phone number"
UnknownWorkflowError,"Unexpected workflow incident in jbpm process instance with stack trace"
UnknownWorkflowError,"RuntimeException while executing work item handler in service task"
